,league,side,teamname,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10
46,LPL,Blue,Top Esports,0,16177.0,19640.0,380.0,15445.0,19565.0,360.0,732.0,75.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0
47,LPL,Red,Suning,1,15445.0,19565.0,360.0,16177.0,19640.0,380.0,-732.0,-75.0,-20.0,0.0,0.0,1.0,1.0,1.0,0.0
58,LPL,Blue,Top Esports,0,16752.0,20020.0,361.0,15250.0,18856.0,321.0,1502.0,1164.0,40.0,2.0,2.0,1.0,1.0,1.0,2.0
59,LPL,Red,Suning,1,15250.0,18856.0,321.0,16752.0,20020.0,361.0,-1502.0,-1164.0,-40.0,1.0,1.0,2.0,2.0,2.0,1.0
70,LPL,Blue,Oh My God,0,15842.0,18405.0,322.0,15812.0,18712.0,333.0,30.0,-307.0,-11.0,2.0,3.0,2.0,2.0,4.0,2.0
71,LPL,Red,EDward Gaming,1,15812.0,18712.0,333.0,15842.0,18405.0,322.0,-30.0,307.0,11.0,2.0,4.0,2.0,2.0,3.0,2.0
82,LPL,Blue,EDward Gaming,0,15086.0,17844.0,323.0,16389.0,19227.0,335.0,-1303.0,-1383.0,-12.0,1.0,2.0,3.0,3.0,7.0,1.0
83,LPL,Red,Oh My God,1,16389.0,19227.0,335.0,15086.0,17844.0,323.0,1303.0,1383.0,12.0,3.0,7.0,1.0,1.0,2.0,3.0
94,LPL,Blue,Oh My God,0,16214.0,19177.0,346.0,15891.0,18999.0,348.0,323.0,178.0,-2.0,2.0,3.0,1.0,1.0,1.0,2.0
95,LPL,Red,EDward Gaming,1,15891.0,18999.0,348.0,16214.0,19177.0,346.0,-323.0,-178.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0
358,LPL,Blue,Team WE,1,14907.0,18445.0,349.0,15001.0,17962.0,315.0,-94.0,483.0,34.0,0.0,0.0,1.0,1.0,4.0,0.0
359,LPL,Red,Rogue Warriors,0,15001.0,17962.0,315.0,14907.0,18445.0,349.0,94.0,-483.0,-34.0,1.0,4.0,0.0,0.0,0.0,1.0
370,LPL,Blue,Rogue Warriors,0,15936.0,16251.0,260.0,15162.0,17695.0,313.0,774.0,-1444.0,-53.0,5.0,10.0,2.0,2.0,5.0,5.0
371,LPL,Red,Team WE,1,15162.0,17695.0,313.0,15936.0,16251.0,260.0,-774.0,1444.0,53.0,2.0,5.0,5.0,5.0,10.0,2.0
382,LPL,Blue,Invictus Gaming,1,17259.0,18577.0,315.0,15511.0,18095.0,325.0,1748.0,482.0,-10.0,6.0,10.0,2.0,2.0,3.0,6.0
383,LPL,Red,JD Gaming,0,15511.0,18095.0,325.0,17259.0,18577.0,315.0,-1748.0,-482.0,10.0,2.0,3.0,6.0,6.0,10.0,2.0
394,LPL,Blue,Invictus Gaming,1,15990.0,17920.0,329.0,15493.0,17313.0,303.0,497.0,607.0,26.0,3.0,4.0,2.0,2.0,4.0,3.0
395,LPL,Red,JD Gaming,0,15493.0,17313.0,303.0,15990.0,17920.0,329.0,-497.0,-607.0,-26.0,2.0,4.0,3.0,3.0,4.0,2.0
406,LPL,Blue,eStar,1,15212.0,18846.0,325.0,15864.0,18932.0,345.0,-652.0,-86.0,-20.0,1.0,2.0,1.0,1.0,1.0,1.0
407,LPL,Red,Bilibili Gaming,0,15864.0,18932.0,345.0,15212.0,18846.0,325.0,652.0,86.0,20.0,1.0,1.0,1.0,1.0,2.0,1.0
