,league,side,teamname,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10
418,LPL,Blue,eStar,0,14938.0,17624.0,323.0,18020.0,19503.0,347.0,-3082.0,-1879.0,-24.0,1.0,2.0,5.0,5.0,6.0,1.0
419,LPL,Red,Bilibili Gaming,1,18020.0,19503.0,347.0,14938.0,17624.0,323.0,3082.0,1879.0,24.0,5.0,6.0,1.0,1.0,2.0,5.0
430,LPL,Blue,eStar,0,15713.0,18839.0,330.0,16331.0,18810.0,341.0,-618.0,29.0,-11.0,2.0,4.0,2.0,2.0,4.0,2.0
431,LPL,Red,Bilibili Gaming,1,16331.0,18810.0,341.0,15713.0,18839.0,330.0,618.0,-29.0,11.0,2.0,4.0,2.0,2.0,4.0,2.0
442,LPL,Blue,ThunderTalk Gaming,0,14770.0,18323.0,337.0,15689.0,19177.0,347.0,-919.0,-854.0,-10.0,0.0,0.0,1.0,1.0,1.0,0.0
443,LPL,Red,Royal Never Give Up,1,15689.0,19177.0,347.0,14770.0,18323.0,337.0,919.0,854.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0
454,LPL,Blue,ThunderTalk Gaming,0,16936.0,18912.0,343.0,14929.0,17263.0,303.0,2007.0,1649.0,40.0,1.0,1.0,2.0,2.0,3.0,1.0
455,LPL,Red,Royal Never Give Up,1,14929.0,17263.0,303.0,16936.0,18912.0,343.0,-2007.0,-1649.0,-40.0,2.0,3.0,1.0,1.0,1.0,2.0
958,LPL,Blue,FunPlus Phoenix,1,16232.0,20036.0,373.0,16435.0,19719.0,355.0,-203.0,317.0,18.0,1.0,1.0,2.0,2.0,7.0,1.0
959,LPL,Red,Oh My God,0,16435.0,19719.0,355.0,16232.0,20036.0,373.0,203.0,-317.0,-18.0,2.0,7.0,1.0,1.0,1.0,2.0
970,LPL,Blue,FunPlus Phoenix,1,16287.0,18306.0,334.0,14833.0,17686.0,308.0,1454.0,620.0,26.0,2.0,4.0,1.0,1.0,1.0,2.0
971,LPL,Red,Oh My God,0,14833.0,17686.0,308.0,16287.0,18306.0,334.0,-1454.0,-620.0,-26.0,1.0,1.0,2.0,2.0,4.0,1.0
982,LPL,Blue,Rogue Warriors,0,15865.0,18030.0,338.0,16259.0,18386.0,339.0,-394.0,-356.0,-1.0,1.0,3.0,2.0,2.0,6.0,1.0
983,LPL,Red,Top Esports,1,16259.0,18386.0,339.0,15865.0,18030.0,338.0,394.0,356.0,1.0,2.0,6.0,1.0,1.0,3.0,2.0
994,LPL,Blue,Rogue Warriors,1,16754.0,18044.0,319.0,17626.0,18422.0,354.0,-872.0,-378.0,-35.0,2.0,4.0,3.0,3.0,8.0,2.0
995,LPL,Red,Top Esports,0,17626.0,18422.0,354.0,16754.0,18044.0,319.0,872.0,378.0,35.0,3.0,8.0,2.0,2.0,4.0,3.0
1006,LPL,Blue,Rogue Warriors,1,15992.0,18483.0,328.0,14784.0,18214.0,341.0,1208.0,269.0,-13.0,2.0,2.0,0.0,0.0,0.0,2.0
1007,LPL,Red,Top Esports,0,14784.0,18214.0,341.0,15992.0,18483.0,328.0,-1208.0,-269.0,13.0,0.0,0.0,2.0,2.0,2.0,0.0
1558,LCK,Blue,Gen.G,1,16004.0,19861.0,349.0,15925.0,19785.0,370.0,79.0,76.0,-21.0,2.0,1.0,1.0,1.0,1.0,2.0
1559,LCK,Red,KT Rolster,0,15925.0,19785.0,370.0,16004.0,19861.0,349.0,-79.0,-76.0,21.0,1.0,1.0,2.0,2.0,1.0,1.0
1606,LCK,Blue,KT Rolster,0,15464.0,18091.0,319.0,16223.0,18738.0,345.0,-759.0,-647.0,-26.0,2.0,4.0,3.0,3.0,3.0,2.0
1607,LCK,Red,Gen.G,1,16223.0,18738.0,345.0,15464.0,18091.0,319.0,759.0,647.0,26.0,3.0,3.0,2.0,2.0,4.0,3.0
1630,LPL,Blue,Team WE,1,16796.0,19337.0,344.0,17293.0,18497.0,318.0,-497.0,840.0,26.0,3.0,4.0,3.0,3.0,6.0,3.0
1631,LPL,Red,Victory Five,0,17293.0,18497.0,318.0,16796.0,19337.0,344.0,497.0,-840.0,-26.0,3.0,6.0,3.0,3.0,4.0,3.0
1654,LCK,Blue,T1,1,15207.0,19468.0,343.0,15379.0,18721.0,361.0,-172.0,747.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0
1655,LCK,Red,Hanwha Life Esports,0,15379.0,18721.0,361.0,15207.0,19468.0,343.0,172.0,-747.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
1666,LPL,Blue,Victory Five,1,15957.0,19733.0,347.0,14283.0,17906.0,308.0,1674.0,1827.0,39.0,2.0,0.0,0.0,0.0,0.0,2.0
1667,LPL,Red,Team WE,0,14283.0,17906.0,308.0,15957.0,19733.0,347.0,-1674.0,-1827.0,-39.0,0.0,0.0,2.0,2.0,0.0,0.0
1702,LPL,Blue,Team WE,1,17205.0,19338.0,333.0,16324.0,17883.0,318.0,881.0,1455.0,15.0,5.0,8.0,3.0,3.0,2.0,5.0
1703,LPL,Red,Victory Five,0,16324.0,17883.0,318.0,17205.0,19338.0,333.0,-881.0,-1455.0,-15.0,3.0,2.0,5.0,5.0,8.0,3.0
1714,LPL,Blue,LNG Esports,1,18467.0,19521.0,336.0,15838.0,18457.0,347.0,2629.0,1064.0,-11.0,4.0,11.0,1.0,1.0,3.0,4.0
1715,LPL,Red,Invictus Gaming,0,15838.0,18457.0,347.0,18467.0,19521.0,336.0,-2629.0,-1064.0,11.0,1.0,3.0,4.0,4.0,11.0,1.0
1738,LCK,Blue,Hanwha Life Esports,1,14705.0,17595.0,305.0,15539.0,18127.0,328.0,-834.0,-532.0,-23.0,2.0,1.0,1.0,1.0,1.0,2.0
1739,LCK,Red,T1,0,15539.0,18127.0,328.0,14705.0,17595.0,305.0,834.0,532.0,23.0,1.0,1.0,2.0,2.0,1.0,1.0
1762,LPL,Blue,LNG Esports,1,17113.0,18147.0,317.0,16726.0,18014.0,321.0,387.0,133.0,-4.0,5.0,13.0,4.0,4.0,10.0,5.0
1763,LPL,Red,Invictus Gaming,0,16726.0,18014.0,321.0,17113.0,18147.0,317.0,-387.0,-133.0,4.0,4.0,10.0,5.0,5.0,13.0,4.0
1786,LCK,Blue,T1,1,16231.0,17781.0,314.0,16072.0,18478.0,317.0,159.0,-697.0,-3.0,4.0,5.0,4.0,4.0,7.0,4.0
1787,LCK,Red,Hanwha Life Esports,0,16072.0,18478.0,317.0,16231.0,17781.0,314.0,-159.0,697.0,3.0,4.0,7.0,4.0,4.0,5.0,4.0
1882,LCK,Blue,Nongshim RedForce,1,16679.0,19334.0,367.0,15677.0,18517.0,328.0,1002.0,817.0,39.0,1.0,1.0,1.0,1.0,1.0,1.0
1883,LCK,Red,Liiv SANDBOX,0,15677.0,18517.0,328.0,16679.0,19334.0,367.0,-1002.0,-817.0,-39.0,1.0,1.0,1.0,1.0,1.0,1.0
1918,LCK,Blue,Liiv SANDBOX,1,16325.0,17925.0,309.0,14030.0,17346.0,291.0,2295.0,579.0,18.0,4.0,5.0,0.0,0.0,0.0,4.0
1919,LCK,Red,Nongshim RedForce,0,14030.0,17346.0,291.0,16325.0,17925.0,309.0,-2295.0,-579.0,-18.0,0.0,0.0,4.0,4.0,5.0,0.0
1954,LPL,Blue,Bilibili Gaming,0,15447.0,19108.0,318.0,15569.0,18722.0,364.0,-122.0,386.0,-46.0,2.0,4.0,0.0,0.0,0.0,2.0
1955,LPL,Red,JD Gaming,1,15569.0,18722.0,364.0,15447.0,19108.0,318.0,122.0,-386.0,46.0,0.0,0.0,2.0,2.0,4.0,0.0
1966,LCK,Blue,Nongshim RedForce,1,14411.0,17580.0,325.0,15638.0,19270.0,360.0,-1227.0,-1690.0,-35.0,0.0,0.0,1.0,1.0,0.0,0.0
1967,LCK,Red,Liiv SANDBOX,0,15638.0,19270.0,360.0,14411.0,17580.0,325.0,1227.0,1690.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0
2002,LPL,Blue,JD Gaming,1,15928.0,18966.0,352.0,16275.0,18828.0,325.0,-347.0,138.0,27.0,1.0,1.0,3.0,3.0,3.0,1.0
2003,LPL,Red,Bilibili Gaming,0,16275.0,18828.0,325.0,15928.0,18966.0,352.0,347.0,-138.0,-27.0,3.0,3.0,1.0,1.0,1.0,3.0
2038,LCK,Blue,DRX,1,15597.0,19794.0,369.0,16033.0,19247.0,346.0,-436.0,547.0,23.0,0.0,0.0,1.0,1.0,2.0,0.0
2039,LCK,Red,Kwangdong Freecs,0,16033.0,19247.0,346.0,15597.0,19794.0,369.0,436.0,-547.0,-23.0,1.0,2.0,0.0,0.0,0.0,1.0
2050,LPL,Blue,Royal Never Give Up,1,15846.0,18561.0,353.0,15305.0,18397.0,326.0,541.0,164.0,27.0,0.0,0.0,1.0,1.0,2.0,0.0
2051,LPL,Red,Suning,0,15305.0,18397.0,326.0,15846.0,18561.0,353.0,-541.0,-164.0,-27.0,1.0,2.0,0.0,0.0,0.0,1.0
2074,LPL,Blue,Royal Never Give Up,0,15563.0,18854.0,326.0,15369.0,19040.0,358.0,194.0,-186.0,-32.0,2.0,4.0,0.0,0.0,0.0,2.0
2075,LPL,Red,Suning,1,15369.0,19040.0,358.0,15563.0,18854.0,326.0,-194.0,186.0,32.0,0.0,0.0,2.0,2.0,4.0,0.0
2086,LCK,Blue,Kwangdong Freecs,1,15785.0,19958.0,356.0,15288.0,19173.0,349.0,497.0,785.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,LCK,Red,DRX,0,15288.0,19173.0,349.0,15785.0,19958.0,356.0,-497.0,-785.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,LPL,Blue,Suning,0,15000.0,18589.0,344.0,16606.0,19085.0,331.0,-1606.0,-496.0,13.0,0.0,0.0,4.0,4.0,5.0,0.0
2099,LPL,Red,Royal Never Give Up,1,16606.0,19085.0,331.0,15000.0,18589.0,344.0,1606.0,496.0,-13.0,4.0,5.0,0.0,0.0,0.0,4.0
2110,LCK,Blue,DRX,1,15488.0,18513.0,337.0,15489.0,18922.0,340.0,-1.0,-409.0,-3.0,1.0,2.0,0.0,0.0,0.0,1.0
2111,LCK,Red,Kwangdong Freecs,0,15489.0,18922.0,340.0,15488.0,18513.0,337.0,1.0,409.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0
2170,LCK,Blue,Fredit BRION,0,15014.0,18535.0,350.0,16229.0,19296.0,352.0,-1215.0,-761.0,-2.0,0.0,0.0,2.0,2.0,3.0,0.0
2171,LCK,Red,Gen.G,1,16229.0,19296.0,352.0,15014.0,18535.0,350.0,1215.0,761.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0
2230,LCK,Blue,Gen.G,1,16332.0,19411.0,349.0,15867.0,18787.0,339.0,465.0,624.0,10.0,3.0,6.0,1.0,1.0,1.0,3.0
2231,LCK,Red,Fredit BRION,0,15867.0,18787.0,339.0,16332.0,19411.0,349.0,-465.0,-624.0,-10.0,1.0,1.0,3.0,3.0,6.0,1.0
2254,LPL,Blue,Rogue Warriors,0,15375.0,16647.0,299.0,18032.0,19015.0,320.0,-2657.0,-2368.0,-21.0,3.0,6.0,7.0,7.0,17.0,3.0
2255,LPL,Red,eStar,1,18032.0,19015.0,320.0,15375.0,16647.0,299.0,2657.0,2368.0,21.0,7.0,17.0,3.0,3.0,6.0,7.0
2278,LCK,Blue,DWG KIA,0,14908.0,18274.0,327.0,15899.0,19715.0,350.0,-991.0,-1441.0,-23.0,0.0,0.0,1.0,1.0,1.0,0.0
2279,LCK,Red,T1,1,15899.0,19715.0,350.0,14908.0,18274.0,327.0,991.0,1441.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0
2290,LPL,Blue,eStar,1,17159.0,18344.0,289.0,13918.0,16350.0,291.0,3241.0,1994.0,-2.0,6.0,11.0,0.0,0.0,0.0,6.0
2291,LPL,Red,Rogue Warriors,0,13918.0,16350.0,291.0,17159.0,18344.0,289.0,-3241.0,-1994.0,2.0,0.0,0.0,6.0,6.0,11.0,0.0
2350,LPL,Blue,Top Esports,1,16967.0,19942.0,374.0,15645.0,19106.0,359.0,1322.0,836.0,15.0,2.0,2.0,0.0,0.0,0.0,2.0
2351,LPL,Red,Rare Atom,0,15645.0,19106.0,359.0,16967.0,19942.0,374.0,-1322.0,-836.0,-15.0,0.0,0.0,2.0,2.0,2.0,0.0
2362,LCK,Blue,T1,0,15209.0,17980.0,319.0,16362.0,18510.0,320.0,-1153.0,-530.0,-1.0,1.0,2.0,3.0,3.0,12.0,1.0
2363,LCK,Red,DWG KIA,1,16362.0,18510.0,320.0,15209.0,17980.0,319.0,1153.0,530.0,1.0,3.0,12.0,1.0,1.0,2.0,3.0
2374,LPL,Blue,Top Esports,1,15530.0,18105.0,339.0,15036.0,18864.0,344.0,494.0,-759.0,-5.0,1.0,2.0,0.0,0.0,0.0,1.0
2375,LPL,Red,Rare Atom,0,15036.0,18864.0,344.0,15530.0,18105.0,339.0,-494.0,759.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0
2410,LCK,Blue,DWG KIA,1,15659.0,19382.0,378.0,16009.0,19659.0,347.0,-350.0,-277.0,31.0,0.0,0.0,1.0,1.0,1.0,0.0
2411,LCK,Red,T1,0,16009.0,19659.0,347.0,15659.0,19382.0,378.0,350.0,277.0,-31.0,1.0,1.0,0.0,0.0,0.0,1.0
2470,LCS,Blue,100 Thieves,1,16687.0,18402.0,328.0,14561.0,17810.0,302.0,2126.0,592.0,26.0,3.0,6.0,1.0,1.0,2.0,4.0
2471,LCS,Red,TSM,0,14561.0,17810.0,302.0,16687.0,18402.0,328.0,-2126.0,-592.0,-26.0,1.0,2.0,4.0,3.0,6.0,1.0
2482,LCS,Blue,Team Liquid,1,16185.0,18591.0,354.0,15361.0,17919.0,323.0,824.0,672.0,31.0,2.0,2.0,1.0,1.0,2.0,2.0
2483,LCS,Red,Counter Logic Gaming,0,15361.0,17919.0,323.0,16185.0,18591.0,354.0,-824.0,-672.0,-31.0,1.0,2.0,2.0,2.0,2.0,1.0
2494,LCS,Blue,Evil Geniuses,1,15669.0,17806.0,315.0,15137.0,18270.0,318.0,532.0,-464.0,-3.0,2.0,4.0,1.0,1.0,2.0,2.0
2495,LCS,Red,Cloud9,0,15137.0,18270.0,318.0,15669.0,17806.0,315.0,-532.0,464.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0
2506,LCS,Blue,Dignitas,1,15081.0,19298.0,340.0,14820.0,17951.0,335.0,261.0,1347.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2507,LCS,Red,FlyQuest,0,14820.0,17951.0,335.0,15081.0,19298.0,340.0,-261.0,-1347.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
2518,LCS,Blue,Counter Logic Gaming,0,15851.0,18116.0,325.0,16953.0,18598.0,323.0,-1102.0,-482.0,2.0,3.0,4.0,4.0,4.0,11.0,3.0
2519,LCS,Red,Golden Guardians,1,16953.0,18598.0,323.0,15851.0,18116.0,325.0,1102.0,482.0,-2.0,4.0,11.0,3.0,3.0,4.0,4.0
2530,LCK,Blue,Liiv SANDBOX,0,14536.0,18484.0,317.0,15739.0,18750.0,350.0,-1203.0,-266.0,-33.0,0.0,0.0,1.0,1.0,1.0,0.0
2531,LCK,Red,KT Rolster,1,15739.0,18750.0,350.0,14536.0,18484.0,317.0,1203.0,266.0,33.0,1.0,1.0,0.0,0.0,0.0,1.0
2590,LCK,Blue,KT Rolster,1,15918.0,19619.0,372.0,15004.0,19007.0,349.0,914.0,612.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2591,LCK,Red,Liiv SANDBOX,0,15004.0,19007.0,349.0,15918.0,19619.0,372.0,-914.0,-612.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0
2626,LCK,Blue,Hanwha Life Esports,1,17312.0,20229.0,361.0,14643.0,17580.0,314.0,2669.0,2649.0,47.0,3.0,6.0,0.0,0.0,0.0,3.0
2627,LCK,Red,DRX,0,14643.0,17580.0,314.0,17312.0,20229.0,361.0,-2669.0,-2649.0,-47.0,0.0,0.0,3.0,3.0,6.0,0.0
2662,LPL,Blue,Victory Five,1,15897.0,18991.0,332.0,14886.0,18304.0,331.0,1011.0,687.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0
2663,LPL,Red,LGD Gaming,0,14886.0,18304.0,331.0,15897.0,18991.0,332.0,-1011.0,-687.0,-1.0,0.0,0.0,2.0,2.0,3.0,0.0
2686,LPL,Blue,EDward Gaming,1,16570.0,19988.0,354.0,14820.0,18399.0,326.0,1750.0,1589.0,28.0,2.0,2.0,0.0,0.0,0.0,2.0
2687,LPL,Red,FunPlus Phoenix,0,14820.0,18399.0,326.0,16570.0,19988.0,354.0,-1750.0,-1589.0,-28.0,0.0,0.0,2.0,2.0,2.0,0.0
2710,LCK,Blue,DRX,1,15393.0,17713.0,316.0,15672.0,18890.0,362.0,-279.0,-1177.0,-46.0,2.0,4.0,1.0,1.0,2.0,2.0
2711,LCK,Red,Hanwha Life Esports,0,15672.0,18890.0,362.0,15393.0,17713.0,316.0,279.0,1177.0,46.0,1.0,2.0,2.0,2.0,4.0,1.0
2734,LPL,Blue,FunPlus Phoenix,1,15323.0,17008.0,315.0,18538.0,18512.0,303.0,-3215.0,-1504.0,12.0,2.0,3.0,6.0,6.0,12.0,2.0
2735,LPL,Red,EDward Gaming,0,18538.0,18512.0,303.0,15323.0,17008.0,315.0,3215.0,1504.0,-12.0,6.0,12.0,2.0,2.0,3.0,6.0
2746,LCK,Blue,Hanwha Life Esports,1,16261.0,18054.0,311.0,16931.0,19322.0,327.0,-670.0,-1268.0,-16.0,4.0,11.0,5.0,5.0,6.0,4.0
2747,LCK,Red,DRX,0,16931.0,19322.0,327.0,16261.0,18054.0,311.0,670.0,1268.0,16.0,5.0,6.0,4.0,4.0,11.0,5.0
2782,LPL,Blue,EDward Gaming,1,15272.0,18395.0,342.0,17172.0,20030.0,339.0,-1900.0,-1635.0,3.0,0.0,0.0,4.0,4.0,9.0,0.0
2783,LPL,Red,FunPlus Phoenix,0,17172.0,20030.0,339.0,15272.0,18395.0,342.0,1900.0,1635.0,-3.0,4.0,9.0,0.0,0.0,0.0,4.0
2866,LCS,Blue,Evil Geniuses,1,16562.0,19617.0,339.0,15069.0,18366.0,319.0,1493.0,1251.0,20.0,5.0,5.0,1.0,1.0,1.0,5.0
2867,LCS,Red,Immortals,0,15069.0,18366.0,319.0,16562.0,19617.0,339.0,-1493.0,-1251.0,-20.0,1.0,1.0,5.0,5.0,5.0,1.0
2878,LCS,Blue,Golden Guardians,0,16065.0,19817.0,369.0,15449.0,18897.0,353.0,616.0,920.0,16.0,1.0,2.0,0.0,0.0,0.0,1.0
2879,LCS,Red,TSM,1,15449.0,18897.0,353.0,16065.0,19817.0,369.0,-616.0,-920.0,-16.0,0.0,0.0,1.0,1.0,2.0,0.0
2890,LCS,Blue,FlyQuest,0,13948.0,15713.0,296.0,15380.0,16979.0,298.0,-1432.0,-1266.0,-2.0,0.0,0.0,3.0,3.0,4.0,0.0
2891,LCS,Red,Cloud9,1,15380.0,16979.0,298.0,13948.0,15713.0,296.0,1432.0,1266.0,2.0,3.0,4.0,0.0,0.0,0.0,3.0
2902,LCS,Blue,Immortals,1,16559.0,20097.0,341.0,14614.0,17741.0,301.0,1945.0,2356.0,40.0,3.0,3.0,1.0,1.0,1.0,3.0
2903,LCS,Red,Dignitas,0,14614.0,17741.0,301.0,16559.0,20097.0,341.0,-1945.0,-2356.0,-40.0,1.0,1.0,3.0,3.0,3.0,1.0
2914,LCS,Blue,Counter Logic Gaming,1,15165.0,18623.0,347.0,16248.0,18525.0,337.0,-1083.0,98.0,10.0,0.0,0.0,3.0,3.0,5.0,1.0
2915,LCS,Red,100 Thieves,0,16248.0,18525.0,337.0,15165.0,18623.0,347.0,1083.0,-98.0,-10.0,3.0,5.0,1.0,0.0,0.0,3.0
3118,LPL,Blue,Victory Five,0,15125.0,18480.0,336.0,16471.0,18210.0,308.0,-1346.0,270.0,28.0,1.0,2.0,4.0,4.0,7.0,1.0
3119,LPL,Red,LGD Gaming,1,16471.0,18210.0,308.0,15125.0,18480.0,336.0,1346.0,-270.0,-28.0,4.0,7.0,1.0,1.0,2.0,4.0
3322,LPL,Blue,LGD Gaming,0,15398.0,18822.0,337.0,17336.0,19609.0,360.0,-1938.0,-787.0,-23.0,1.0,1.0,3.0,3.0,6.0,1.0
3323,LPL,Red,Victory Five,1,17336.0,19609.0,360.0,15398.0,18822.0,337.0,1938.0,787.0,23.0,3.0,6.0,1.0,1.0,1.0,3.0
3406,LCK,Blue,Nongshim RedForce,0,14753.0,17972.0,329.0,15771.0,19457.0,374.0,-1018.0,-1485.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0
3407,LCK,Red,DWG KIA,1,15771.0,19457.0,374.0,14753.0,17972.0,329.0,1018.0,1485.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
3466,LCK,Blue,DWG KIA,1,16351.0,19881.0,346.0,14082.0,17060.0,272.0,2269.0,2821.0,74.0,2.0,0.0,1.0,1.0,3.0,2.0
3467,LCK,Red,Nongshim RedForce,0,14082.0,17060.0,272.0,16351.0,19881.0,346.0,-2269.0,-2821.0,-74.0,1.0,3.0,2.0,2.0,0.0,1.0
3502,LPL,Blue,LNG Esports,1,16318.0,19227.0,362.0,16677.0,19036.0,355.0,-359.0,191.0,7.0,1.0,1.0,2.0,2.0,8.0,1.0
3503,LPL,Red,ThunderTalk Gaming,0,16677.0,19036.0,355.0,16318.0,19227.0,362.0,359.0,-191.0,-7.0,2.0,8.0,1.0,1.0,1.0,2.0
3514,LCK,Blue,Kwangdong Freecs,1,16589.0,20153.0,362.0,16882.0,19802.0,351.0,-293.0,351.0,11.0,3.0,1.0,3.0,3.0,4.0,3.0
3515,LCK,Red,Fredit BRION,0,16882.0,19802.0,351.0,16589.0,20153.0,362.0,293.0,-351.0,-11.0,3.0,4.0,3.0,3.0,1.0,3.0
3538,LPL,Blue,ThunderTalk Gaming,1,14916.0,18385.0,332.0,16227.0,19984.0,357.0,-1311.0,-1599.0,-25.0,0.0,0.0,1.0,1.0,1.0,0.0
3539,LPL,Red,LNG Esports,0,16227.0,19984.0,357.0,14916.0,18385.0,332.0,1311.0,1599.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0
3562,LCK,Blue,Fredit BRION,0,14372.0,16995.0,307.0,16128.0,19301.0,338.0,-1756.0,-2306.0,-31.0,0.0,0.0,2.0,2.0,6.0,0.0
3563,LCK,Red,Kwangdong Freecs,1,16128.0,19301.0,338.0,14372.0,16995.0,307.0,1756.0,2306.0,31.0,2.0,6.0,0.0,0.0,0.0,2.0
3574,LPL,Blue,Team WE,0,14637.0,18039.0,323.0,17053.0,19089.0,340.0,-2416.0,-1050.0,-17.0,0.0,0.0,4.0,4.0,6.0,0.0
3575,LPL,Red,Invictus Gaming,1,17053.0,19089.0,340.0,14637.0,18039.0,323.0,2416.0,1050.0,17.0,4.0,6.0,0.0,0.0,0.0,4.0
3598,LPL,Blue,LNG Esports,1,16145.0,19683.0,373.0,15649.0,18827.0,355.0,496.0,856.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0
3599,LPL,Red,ThunderTalk Gaming,0,15649.0,18827.0,355.0,16145.0,19683.0,373.0,-496.0,-856.0,-18.0,1.0,1.0,1.0,1.0,1.0,1.0
3622,LPL,Blue,Team WE,1,16635.0,19187.0,332.0,15736.0,18939.0,337.0,899.0,248.0,-5.0,3.0,4.0,2.0,2.0,3.0,3.0
3623,LPL,Red,Invictus Gaming,0,15736.0,18939.0,337.0,16635.0,19187.0,332.0,-899.0,-248.0,5.0,2.0,3.0,3.0,3.0,4.0,2.0
3646,LPL,Blue,Team WE,1,16844.0,17917.0,287.0,16594.0,17969.0,342.0,250.0,-52.0,-55.0,6.0,5.0,3.0,3.0,4.0,6.0
