,league,side,teamname,result,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
36239,LPL,Red,FunPlus Phoenix,0,26102.0,30604.0,569.0,26098.0,29601.0,519.0,4.0,1003.0,50.0,3.0,8.0,5.0,5.0,12.0,3.0
36286,VCS,Blue,CERBERUS Esports,1,25047.0,31096.0,525.0,23596.0,28992.0,500.0,1451.0,2104.0,25.0,4.0,7.0,2.0,2.0,4.0,4.0
36287,VCS,Red,GAM Esports,0,23596.0,28992.0,500.0,25047.0,31096.0,525.0,-1451.0,-2104.0,-25.0,2.0,4.0,4.0,4.0,7.0,2.0
36358,VCS,Blue,GAM Esports,1,26619.0,31057.0,529.0,23115.0,28947.0,508.0,3504.0,2110.0,21.0,6.0,8.0,3.0,3.0,3.0,6.0
36359,VCS,Red,CERBERUS Esports,0,23115.0,28947.0,508.0,26619.0,31057.0,529.0,-3504.0,-2110.0,-21.0,3.0,3.0,6.0,6.0,8.0,3.0
36406,LEC,Blue,FC Schalke 04 Esports,0,23650.0,29182.0,506.0,25011.0,31123.0,561.0,-1361.0,-1941.0,-55.0,1.0,2.0,2.0,2.0,2.0,1.0
36407,LEC,Red,Misfits Gaming,1,25011.0,31123.0,561.0,23650.0,29182.0,506.0,1361.0,1941.0,55.0,2.0,2.0,1.0,1.0,2.0,2.0
36442,LEC,Blue,SK Gaming,1,24031.0,30292.0,576.0,25219.0,31669.0,605.0,-1188.0,-1377.0,-29.0,0.0,0.0,1.0,1.0,2.0,0.0
36443,LEC,Red,Excel Esports,0,25219.0,31669.0,605.0,24031.0,30292.0,576.0,1188.0,1377.0,29.0,1.0,2.0,0.0,0.0,0.0,1.0
36490,LEC,Blue,Team Vitality,0,23922.0,29749.0,538.0,25934.0,30347.0,555.0,-2012.0,-598.0,-17.0,2.0,3.0,2.0,2.0,2.0,2.0
36491,LEC,Red,MAD Lions,1,25934.0,30347.0,555.0,23922.0,29749.0,538.0,2012.0,598.0,17.0,2.0,2.0,2.0,2.0,3.0,2.0
36514,LEC,Blue,Astralis,0,23958.0,30510.0,535.0,26222.0,30353.0,548.0,-2264.0,157.0,-13.0,3.0,2.0,4.0,4.0,7.0,3.0
36515,LEC,Red,Rogue,1,26222.0,30353.0,548.0,23958.0,30510.0,535.0,2264.0,-157.0,13.0,4.0,7.0,3.0,3.0,2.0,4.0
36526,LEC,Blue,G2 Esports,1,26991.0,30539.0,535.0,24006.0,29167.0,513.0,2985.0,1372.0,22.0,6.0,7.0,3.0,3.0,6.0,6.0
36527,LEC,Red,Fnatic,0,24006.0,29167.0,513.0,26991.0,30539.0,535.0,-2985.0,-1372.0,-22.0,3.0,6.0,6.0,6.0,7.0,3.0
36562,LCS,Blue,Team Liquid,1,25876.0,31433.0,599.0,22578.0,29000.0,532.0,3298.0,2433.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
36563,LCS,Red,FlyQuest,0,22578.0,29000.0,532.0,25876.0,31433.0,599.0,-3298.0,-2433.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0
36574,LCS,Blue,Cloud9,1,22457.0,27208.0,473.0,23493.0,29312.0,528.0,-1036.0,-2104.0,-55.0,3.0,8.0,2.0,2.0,3.0,3.0
36575,LCS,Red,Evil Geniuses,0,23493.0,29312.0,528.0,22457.0,27208.0,473.0,1036.0,2104.0,55.0,2.0,3.0,3.0,3.0,8.0,2.0
36586,LCS,Blue,Dignitas,0,24909.0,30080.0,497.0,24022.0,29112.0,531.0,887.0,968.0,-34.0,5.0,10.0,2.0,2.0,3.0,5.0
36587,LCS,Red,100 Thieves,1,24022.0,29112.0,531.0,24909.0,30080.0,497.0,-887.0,-968.0,34.0,2.0,3.0,5.0,5.0,10.0,2.0
36622,LCS,Blue,TSM,1,25285.0,30006.0,547.0,24469.0,29506.0,553.0,816.0,500.0,-6.0,1.0,2.0,1.0,1.0,2.0,1.0
36623,LCS,Red,Counter Logic Gaming,0,24469.0,29506.0,553.0,25285.0,30006.0,547.0,-816.0,-500.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0
